group,variable,value,,,
Knox,11/20,44,,,
Knox,11/21,29,,,
Knox,11/22,32,,,
Knox,11/23,66,,,
Knox,11/24,36,,,
Knox,11/25,28,,,
Knox,11/26,29,,,
Knox,11/27,44,,,
Knox,11/28,36,,,
Knox,11/29,28,,,
Knox,11/30,43,,,
Knox,12/1,41,,,
Knox,12/2,47,,,
Knox,12/3,46,,,
Knox,12/4,43,,,
Knox,12/5,33,,,
Knox,12/6,28,,,
Knox,12/7,36,,,
Knox,12/8,45,,,
Knox,12/9,17,,,
Knox,12/10,29,,,
Knox,12/11,37,,,
Knox,12/12,29,,,
Knox,12/13,19,,,
Knox,12/14,64,,,
Knox,12/15,47,,,
Knox,12/16,40,,,
Knox,12/17,22,,,
Knox,12/18,44,,,
Knox,12/19,28,,,
Knox,12/20,23,,,
Knox,12/21,55,,,
Knox,12/22,27,,,
Knox,12/23,40,,,
Knox,12/24,26,,,
Knox,12/25,28,,,
Knox,12/26,40,,,
Knox,12/27,25,,,
Knox,12/28,73,,,
Knox,12/29,35,,,
Knox,12/30,48,,,
Knox,12/31,39,,,
Knox,1/1,25,,,
Knox,1/2,32,,,
Knox,1/3,22,,,
Knox,1/4,45,,,
Knox,1/5,45,,,
Knox,1/6,24,,,
Knox,1/7,21,,,
Knox,1/8,41,,,
Knox,1/9,18,,,
Knox,1/10,18,,,
Knox,1/11,32,,,
Knox,1/12,21,,,
Knox,1/13,12,,,
Knox,1/14,12,,,
Knox,1/15,16,,,
Knox,1/16,5,,,
Knox,1/17,6,,,
Knox,1/18,,,,
Lake,8/1,9,,,
Lake,8/2,8,,,
Lake,8/3,8,,,
Lake,8/4,13,,,
Lake,8/5,15,,,
Lake,8/6,9,,,
Lake,8/7,13,,,
Lake,8/8,7,,,
Lake,8/9,5,,,
Lake,8/10,7,,,
Lake,8/11,13,,,
Lake,8/12,7,,,
Lake,8/13,7,,,
Lake,8/14,10,,,
Lake,8/15,6,,,
Lake,8/16,7,,,
Lake,8/17,11,,,
Lake,8/18,10,,,
Lake,8/19,11,,,
Lake,8/20,6,,,
Lake,8/21,10,,,
Lake,8/22,14,,,
Lake,8/23,9,,,
Lake,8/24,12,,,
Lake,8/25,9,,,
Lake,8/26,14,,,
Lake,8/27,8,,,
Lake,8/28,13,,,
Lake,8/29,8,,,
Lake,8/30,8,,,
Lake,8/31,11,,,
Lake,9/1,32,,,
Lake,9/2,27,,,
Lake,9/3,26,,,
Lake,9/4,10,,,
Lake,9/5,8,,,
Lake,9/6,2,,,
Lake,9/7,3,,,
Lake,9/8,15,,,
Lake,9/9,26,,,
Lake,9/10,15,,,
Lake,9/11,5,,,
Lake,9/12,3,,,
Lake,9/13,6,,,
Lake,9/14,19,,,
Lake,9/15,12,,,
Lake,9/16,7,,,
Lake,9/17,9,,,
Lake,9/18,8,,,
Lake,9/19,6,,,
Lake,9/20,3,,,
Lake,9/21,14,,,
Lake,9/22,18,,,
Lake,9/23,4,,,
Lake,9/24,8,,,
Lake,9/25,10,,,
Lake,9/26,11,,,
Lake,9/27,6,,,
Lake,9/28,8,,,
Lake,9/29,10,,,
Lake,9/30,5,,,
Lake,10/1,5,,,
Lake,10/2,9,,,
Lake,10/3,10,,,
Lake,10/4,6,,,
Lake,10/5,10,,,
Lake,10/6,12,,,
Lake,10/7,15,,,
Lake,10/8,10,,,
Lake,10/9,14,,,
Lake,10/10,14,,,
Lake,10/11,10,,,
Lake,10/12,20,,,
Lake,10/13,16,,,
Lake,10/14,27,,,
Lake,10/15,18,,,
Lake,10/16,29,,,
Lake,10/17,17,,,
Lake,10/18,19,,,
Lake,10/19,28,,,
Lake,10/20,42,,,
Lake,10/21,35,,,
Lake,10/22,45,,,
Lake,10/23,52,,,
Lake,10/24,45,,,
Lake,10/25,34,,,
Lake,10/26,44,,,
Lake,10/27,79,,,
Lake,10/28,85,,,
Lake,10/29,80,,,
Lake,10/30,70,,,
Lake,10/31,72,,,
Lake,11/1,71,,,
Lake,11/2,137,,,
Lake,11/3,186,,,
Lake,11/4,158,,,
Lake,11/5,215,,,
Lake,11/6,200,,,
Lake,11/7,174,,,
Lake,11/8,171,,,
Lake,11/9,284,,,
Lake,11/10,356,,,
Lake,11/11,267,,,
Lake,11/12,307,,,
Lake,11/13,304,,,
Lake,11/14,221,,,
Lake,11/15,149,,,
Lake,11/16,326,,,
Lake,11/17,300,,,
Lake,11/18,239,,,
Lake,11/19,205,,,
Lake,11/20,229,,,
Lake,11/21,161,,,
Lake,11/22,113,,,
Lake,11/23,242,,,
Lake,11/24,237,,,
Lake,11/25,214,,,
Lake,11/26,92,,,
Lake,11/27,199,,,
Lake,11/28,133,,,
Lake,11/29,113,,,
Lake,11/30,213,,,
Lake,12/1,171,,,
Lake,12/2,168,,,
Lake,12/3,193,,,
Lake,12/4,167,,,
Lake,12/5,103,,,
Lake,12/6,108,,,
Lake,12/7,186,,,
Lake,12/8,166,,,
Lake,12/9,152,,,
Lake,12/10,139,,,
Lake,12/11,147,,,
Lake,12/12,100,,,
Lake,12/13,101,,,
Lake,12/14,183,,,
Lake,12/15,151,,,
Lake,12/16,143,,,
Lake,12/17,125,,,
Lake,12/18,129,,,
Lake,12/19,85,,,
Lake,12/20,75,,,
Lake,12/21,210,,,
Lake,12/22,143,,,
Lake,12/23,154,,,
Lake,12/24,130,,,
Lake,12/25,50,,,
Lake,12/26,105,,,
Lake,12/27,114,,,
Lake,12/28,235,,,
Lake,12/29,178,,,
Lake,12/30,166,,,
Lake,12/31,175,,,
Lake,1/1,65,,,
Lake,1/2,132,,,
Lake,1/3,127,,,
Lake,1/4,233,,,
Lake,1/5,184,,,
Lake,1/6,133,,,
Lake,1/7,164,,,
Lake,1/8,122,,,
Lake,1/9,110,,,
Lake,1/10,93,,,
Lake,1/11,168,,,
Lake,1/12,139,,,
Lake,1/13,131,,,
Lake,1/14,117,,,
Lake,1/15,74,,,
Lake,1/16,43,,,
Lake,1/17,34,,,
Lake,1/18,1,,,
Lawrence,8/1,3,,,
Lawrence,8/2,3,,,
Lawrence,8/3,4,,,
Lawrence,8/4,7,,,
Lawrence,8/5,20,,,
Lawrence,8/6,19,,,
Lawrence,8/7,6,,,
Lawrence,8/8,4,,,
Lawrence,8/9,3,,,
Lawrence,8/10,27,,,
Lawrence,8/11,13,,,
Lawrence,8/12,8,,,
Lawrence,8/13,5,,,
Lawrence,8/14,13,,,
Lawrence,8/15,10,,,
Lawrence,8/16,6,,,
Lawrence,8/17,13,,,
Lawrence,8/18,5,,,
Lawrence,8/19,13,,,
Lawrence,8/20,6,,,
Lawrence,8/21,7,,,
Lawrence,8/22,8,,,
Lawrence,8/23,1,,,
Lawrence,8/24,4,,,
Lawrence,8/25,1,,,
Lawrence,8/26,10,,,
Lawrence,8/27,7,,,
Lawrence,8/28,4,,,
Lawrence,8/29,,,,
Lawrence,8/30,4,,,
Lawrence,8/31,7,,,
Lawrence,9/1,10,,,
Lawrence,9/2,5,,,
Lawrence,9/3,9,,,
Lawrence,9/4,7,,,
Lawrence,9/5,5,,,
Lawrence,9/6,3,,,
Lawrence,9/7,7,,,
Lawrence,9/8,9,,,
Lawrence,9/9,7,,,
Lawrence,9/10,12,,,
Lawrence,9/11,9,,,
Lawrence,9/12,4,,,
Lawrence,9/13,4,,,
Lawrence,9/14,10,,,
Lawrence,9/15,7,,,
Lawrence,9/16,8,,,
Lawrence,9/17,12,,,
Lawrence,9/18,12,,,
Lawrence,9/19,7,,,
Lawrence,9/20,6,,,
Lawrence,9/21,15,,,
Lawrence,9/22,11,,,
Lawrence,9/23,10,,,
Lawrence,9/24,12,,,
Lawrence,9/25,10,,,
Lawrence,9/26,4,,,
Lawrence,9/27,6,,,
Lawrence,9/28,11,,,
Lawrence,9/29,7,,,
Lawrence,9/30,12,,,
Lawrence,10/1,7,,,
Lawrence,10/2,8,,,
Lawrence,10/3,10,,,
Lawrence,10/4,5,,,
Lawrence,10/5,7,,,
Lawrence,10/6,6,,,
Lawrence,10/7,24,,,
Lawrence,10/8,9,,,
Lawrence,10/9,6,,,
Lawrence,10/10,14,,,
Lawrence,10/11,11,,,
Lawrence,10/12,26,,,
Lawrence,10/13,15,,,
Lawrence,10/14,14,,,
Lawrence,10/15,14,,,
Lawrence,10/16,14,,,
Lawrence,10/17,6,,,
Lawrence,10/18,9,,,
Lawrence,10/19,32,,,
Lawrence,10/20,16,,,
Lawrence,10/21,11,,,
Lawrence,10/22,22,,,
Lawrence,10/23,14,,,
Lawrence,10/24,14,,,
Lawrence,10/25,16,,,
Lawrence,10/26,22,,,
Lawrence,10/27,28,,,
Lawrence,10/28,19,,,
Lawrence,10/29,17,,,
Lawrence,10/30,19,,,
Lawrence,10/31,17,,,
Lawrence,11/1,22,,,
Lawrence,11/2,29,,,
Lawrence,11/3,30,,,
Lawrence,11/4,42,,,
Lawrence,11/5,34,,,
Lawrence,11/6,37,,,
Lawrence,11/7,42,,,
Lawrence,11/8,32,,,
Lawrence,11/9,48,,,
Lawrence,11/10,51,,,
Lawrence,11/11,57,,,
Lawrence,11/12,44,,,
Lawrence,11/13,38,,,
Lawrence,11/14,38,,,
Lawrence,11/15,27,,,
Lawrence,11/16,51,,,
Lawrence,11/17,51,,,
Lawrence,11/18,41,,,
Lawrence,11/19,46,,,
Lawrence,11/20,38,,,
Lawrence,11/21,34,,,
Lawrence,11/22,35,,,
Lawrence,11/23,29,,,
Lawrence,11/24,68,,,
Lawrence,11/25,46,,,
Lawrence,11/26,37,,,
Lawrence,11/27,38,,,
Lawrence,11/28,39,,,
Lawrence,11/29,35,,,
Lawrence,11/30,62,,,
Lawrence,12/1,62,,,
Lawrence,12/2,54,,,
Lawrence,12/3,45,,,
Lawrence,12/4,57,,,
Lawrence,12/5,42,,,
Lawrence,12/6,40,,,
Lawrence,12/7,50,,,
Lawrence,12/8,39,,,
Lawrence,12/9,33,,,
Lawrence,12/10,36,,,
Lawrence,12/11,30,,,
Lawrence,12/12,33,,,
Lawrence,12/13,20,,,
Lawrence,12/14,53,,,
Lawrence,12/15,28,,,
Lawrence,12/16,31,,,
Lawrence,12/17,41,,,
Lawrence,12/18,32,,,
Lawrence,12/19,32,,,
Lawrence,12/20,36,,,
Lawrence,12/21,53,,,
Lawrence,12/22,48,,,
Lawrence,12/23,41,,,
Lawrence,12/24,31,,,
Lawrence,12/25,14,,,
Lawrence,12/26,18,,,
Lawrence,12/27,51,,,
Lawrence,12/28,79,,,
Lawrence,12/29,67,,,
Lawrence,12/30,62,,,
Lawrence,12/31,64,,,
Lawrence,1/1,28,,,
Lawrence,1/2,38,,,
Lawrence,1/3,38,,,
Lawrence,1/4,76,,,
Lawrence,1/5,43,,,
Lawrence,1/6,41,,,
Lawrence,1/7,64,,,
Lawrence,1/8,33,,,
Lawrence,1/9,34,,,
Lawrence,1/10,26,,,
Lawrence,1/11,61,,,
Lawrence,1/12,45,,,
Lawrence,1/13,31,,,
Lawrence,1/14,29,,,
Lawrence,1/15,18,,,
Lawrence,1/16,14,,,
Lawrence,1/17,1,,,
Lawrence,1/18,,,,
Licking,8/1,20,,,
Licking,8/2,16,,,
Licking,8/3,24,,,
Licking,8/4,22,,,
Licking,8/5,27,,,
Licking,8/6,19,,,
Licking,8/7,18,,,
Licking,8/8,14,,,
Licking,8/9,9,,,
Licking,8/10,14,,,
Licking,8/11,19,,,
Licking,8/12,19,,,
Licking,8/13,9,,,
Licking,8/14,11,,,
Licking,8/15,4,,,
Licking,8/16,6,,,
Licking,8/17,12,,,
Licking,8/18,12,,,
Licking,8/19,13,,,
Licking,8/20,10,,,
Licking,8/21,14,,,
Licking,8/22,9,,,
Licking,8/23,12,,,
Licking,8/24,17,,,
Licking,8/25,15,,,
Licking,8/26,13,,,
Licking,8/27,15,,,
Licking,8/28,12,,,
Licking,8/29,13,,,
Licking,8/30,16,,,
Licking,8/31,14,,,
Licking,9/1,18,,,
Licking,9/2,12,,,
Licking,9/3,10,,,
Licking,9/4,12,,,
Licking,9/5,8,,,
Licking,9/6,8,,,
Licking,9/7,13,,,
Licking,9/8,10,,,
Licking,9/9,12,,,
Licking,9/10,15,,,
Licking,9/11,11,,,
Licking,9/12,6,,,
Licking,9/13,10,,,
Licking,9/14,21,,,
Licking,9/15,15,,,
Licking,9/16,6,,,
Licking,9/17,9,,,
Licking,9/18,15,,,
Licking,9/19,7,,,
Licking,9/20,10,,,
Licking,9/21,14,,,
Licking,9/22,15,,,
Licking,9/23,10,,,
Licking,9/24,8,,,
Licking,9/25,10,,,
Licking,9/26,10,,,
Licking,9/27,11,,,
Licking,9/28,12,,,
Licking,9/29,11,,,
Licking,9/30,15,,,
Licking,10/1,27,,,
Licking,10/2,15,,,
Licking,10/3,12,,,
Licking,10/4,17,,,
Licking,10/5,30,,,
Licking,10/6,51,,,
Licking,10/7,30,,,
Licking,10/8,29,,,
Licking,10/9,25,,,
Licking,10/10,25,,,
Licking,10/11,28,,,
Licking,10/12,53,,,
Licking,10/13,43,,,
Licking,10/14,47,,,
Licking,10/15,46,,,
Licking,10/16,44,,,
Licking,10/17,30,,,
Licking,10/18,32,,,
Licking,10/19,56,,,
Licking,10/20,57,,,
Licking,10/21,48,,,
Licking,10/22,46,,,
Licking,10/23,65,,,
Licking,10/24,38,,,
Licking,10/25,45,,,
Licking,10/26,54,,,
Licking,10/27,59,,,
Licking,10/28,50,,,
Licking,10/29,54,,,
Licking,10/30,53,,,
Licking,10/31,57,,,
Licking,11/1,60,,,
Licking,11/2,87,,,
Licking,11/3,92,,,
Licking,11/4,121,,,
Licking,11/5,95,,,
Licking,11/6,88,,,
Licking,11/7,104,,,
Licking,11/8,89,,,
Licking,11/9,164,,,
Licking,11/10,173,,,
Licking,11/11,139,,,
Licking,11/12,125,,,
Licking,11/13,166,,,
Licking,11/14,101,,,
Licking,11/15,80,,,
Licking,11/16,160,,,
Licking,11/17,129,,,
Licking,11/18,130,,,
Licking,11/19,148,,,
Licking,11/20,157,,,
Licking,11/21,78,,,
Licking,11/22,86,,,
Licking,11/23,185,,,
Licking,11/24,192,,,
Licking,11/25,149,,,
Licking,11/26,31,,,
Licking,11/27,152,,,
Licking,11/28,118,,,
Licking,11/29,94,,,
Licking,11/30,209,,,
Licking,12/1,186,,,
Licking,12/2,171,,,
Licking,12/3,163,,,
Licking,12/4,136,,,
Licking,12/5,121,,,
Licking,12/6,101,,,
Licking,12/7,201,,,
Licking,12/8,168,,,
Licking,12/9,132,,,
Licking,12/10,125,,,
Licking,12/11,123,,,
Licking,12/12,101,,,
Licking,12/13,82,,,
Licking,12/14,158,,,
Licking,12/15,140,,,
Licking,12/16,112,,,
Licking,12/17,138,,,
Licking,12/18,115,,,
Licking,12/19,62,,,
Licking,12/20,81,,,
Licking,12/21,151,,,
Licking,12/22,132,,,
Licking,12/23,114,,,
Licking,12/24,87,,,
Licking,12/25,30,,,
Licking,12/26,96,,,
Licking,12/27,90,,,
Licking,12/28,192,,,
Licking,12/29,147,,,
Licking,12/30,128,,,
Licking,12/31,135,,,
Licking,1/1,50,,,
Licking,1/2,148,,,
Licking,1/3,115,,,
Licking,1/4,212,,,
Licking,1/5,158,,,
Licking,1/6,150,,,
Licking,1/7,120,,,
Licking,1/8,122,,,
Licking,1/9,91,,,
Licking,1/10,68,,,
Licking,1/11,133,,,
Licking,1/12,93,,,
Licking,1/13,99,,,
Licking,1/14,87,,,
Licking,1/15,77,,,
Licking,1/16,34,,,
Licking,1/17,30,,,
Licking,1/18,,,,
Logan,8/1,6,,,
Logan,8/2,4,,,
Logan,8/3,3,,,
Logan,8/4,8,,,
Logan,8/5,6,,,
Logan,8/6,1,,,
Logan,8/7,4,,,
Logan,8/8,2,,,
Logan,8/9,6,,,
Logan,8/10,3,,,
Logan,8/11,2,,,
Logan,8/12,8,,,
Logan,8/13,5,,,
Logan,8/14,3,,,
Logan,8/15,5,,,
Logan,8/16,3,,,
Logan,8/17,5,,,
Logan,8/18,2,,,
Logan,8/19,4,,,
Logan,8/20,4,,,
Logan,8/21,1,,,
Logan,8/22,2,,,
Logan,8/23,1,,,
Logan,8/24,3,,,
Logan,8/25,3,,,
Logan,8/26,3,,,
Logan,8/27,2,,,
Logan,8/28,2,,,
Logan,8/29,2,,,
Logan,8/30,1,,,
Logan,8/31,2,,,
Logan,9/1,4,,,
Logan,9/2,6,,,
Logan,9/3,1,,,
Logan,9/4,4,,,
Logan,9/5,1,,,
Logan,9/6,3,,,
Logan,9/7,3,,,
Logan,9/8,4,,,
Logan,9/9,3,,,
Logan,9/10,4,,,
Logan,9/11,2,,,
Logan,9/12,,,,
Logan,9/13,5,,,
Logan,9/14,2,,,
Logan,9/15,3,,,
Logan,9/16,4,,,
Logan,9/17,1,,,
Logan,9/18,3,,,
Logan,9/19,3,,,
Logan,9/20,2,,,
Logan,9/21,3,,,
Logan,9/22,2,,,
Logan,9/23,2,,,
Logan,9/24,1,,,
Logan,9/25,4,,,
Logan,9/26,3,,,
Logan,9/27,8,,,
Logan,9/28,6,,,
Logan,9/29,2,,,
Logan,9/30,3,,,
Logan,10/1,5,,,
Logan,10/2,3,,,
Logan,10/3,1,,,
Logan,10/4,3,,,
Logan,10/5,5,,,
Logan,10/6,1,,,
Logan,10/7,7,,,
Logan,10/8,6,,,
Logan,10/9,9,,,
Logan,10/10,6,,,
Logan,10/11,7,,,
Logan,10/12,8,,,
Logan,10/13,9,,,
Logan,10/14,3,,,
Logan,10/15,6,,,
Logan,10/16,2,,,
Logan,10/17,10,,,
Logan,10/18,6,,,
Logan,10/19,5,,,
Logan,10/20,11,,,
Logan,10/21,13,,,
Logan,10/22,13,,,
Logan,10/23,21,,,
Logan,10/24,7,,,
Logan,10/25,12,,,
Logan,10/26,14,,,
Logan,10/27,36,,,
Logan,10/28,19,,,
Logan,10/29,17,,,
Logan,10/30,22,,,
Logan,10/31,17,,,
Logan,11/1,18,,,
Logan,11/2,41,,,
Logan,11/3,52,,,
Logan,11/4,41,,,
Logan,11/5,36,,,
Logan,11/6,26,,,
Logan,11/7,23,,,
Logan,11/8,26,,,
Logan,11/9,54,,,
Logan,11/10,37,,,
Logan,11/11,39,,,
Logan,11/12,44,,,
Logan,11/13,46,,,
Logan,11/14,10,,,
Logan,11/15,20,,,
Logan,11/16,55,,,
Logan,11/17,51,,,
Logan,11/18,59,,,
Logan,11/19,31,,,
Logan,11/20,35,,,
Logan,11/21,10,,,
Logan,11/22,18,,,
Logan,11/23,37,,,
Logan,11/24,50,,,
Logan,11/25,37,,,
Logan,11/26,7,,,
Logan,11/27,15,,,
Logan,11/28,11,,,
Logan,11/29,8,,,
Logan,11/30,58,,,
Logan,12/1,44,,,
Logan,12/2,49,,,
Logan,12/3,37,,,
Logan,12/4,38,,,
Logan,12/5,19,,,
Logan,12/6,16,,,
Logan,12/7,49,,,
Logan,12/8,34,,,
Logan,12/9,30,,,
Logan,12/10,23,,,
Logan,12/11,31,,,
Logan,12/12,16,,,
Logan,12/13,13,,,
Logan,12/14,36,,,
Logan,12/15,50,,,
Logan,12/16,18,,,
Logan,12/17,13,,,
Logan,12/18,22,,,
Logan,12/19,19,,,
Logan,12/20,5,,,
Logan,12/21,35,,,
Logan,12/22,26,,,
Logan,12/23,26,,,
Logan,12/24,15,,,
Logan,12/25,13,,,
Logan,12/26,10,,,
Logan,12/27,6,,,
Logan,12/28,40,,,
Logan,12/29,40,,,
Logan,12/30,36,,,
Logan,12/31,24,,,
Logan,1/1,23,,,
Logan,1/2,38,,,
Logan,1/3,17,,,
Logan,1/4,58,,,
Logan,1/5,60,,,
Logan,1/6,37,,,
Logan,1/7,32,,,
Logan,1/8,34,,,
Logan,1/9,12,,,
Logan,1/10,12,,,
Logan,1/11,33,,,
Logan,1/12,17,,,
Logan,1/13,14,,,
Logan,1/14,12,,,
Logan,1/15,5,,,
Logan,1/16,6,,,
Logan,1/17,1,,,
Logan,1/18,,,,
Lorain,8/1,14,,,
Lorain,8/2,11,,,
Lorain,8/3,21,,,
Lorain,8/4,31,,,
Lorain,8/5,29,,,
Lorain,8/6,29,,,
Lorain,8/7,32,,,
Lorain,8/8,25,,,
Lorain,8/9,12,,,
Lorain,8/10,23,,,
Lorain,8/11,24,,,
Lorain,8/12,25,,,
Lorain,8/13,20,,,
Lorain,8/14,16,,,
Lorain,8/15,5,,,
Lorain,8/16,7,,,
Lorain,8/17,18,,,
Lorain,8/18,7,,,
Lorain,8/19,15,,,
Lorain,8/20,20,,,
Lorain,8/21,14,,,
Lorain,8/22,13,,,
Lorain,8/23,18,,,
Lorain,8/24,14,,,
Lorain,8/25,6,,,
Lorain,8/26,7,,,
Lorain,8/27,10,,,
Lorain,8/28,5,,,
Lorain,8/29,4,,,
Lorain,8/30,5,,,
Lorain,8/31,4,,,
Lorain,9/1,14,,,
Lorain,9/2,6,,,
Lorain,9/3,7,,,
Lorain,9/4,2,,,
Lorain,9/5,2,,,
Lorain,9/6,5,,,
Lorain,9/7,7,,,
Lorain,9/8,9,,,
Lorain,9/9,3,,,
Lorain,9/10,5,,,
Lorain,9/11,7,,,
Lorain,9/12,3,,,
Lorain,9/13,7,,,
Lorain,9/14,4,,,
Lorain,9/15,6,,,
Lorain,9/16,11,,,
Lorain,9/17,6,,,
Lorain,9/18,8,,,
Lorain,9/19,5,,,
Lorain,9/20,15,,,
Lorain,9/21,8,,,
Lorain,9/22,11,,,
Lorain,9/23,11,,,
Lorain,9/24,10,,,
Lorain,9/25,9,,,
Lorain,9/26,6,,,
Lorain,9/27,5,,,
Lorain,9/28,12,,,
Lorain,9/29,9,,,
Lorain,9/30,14,,,
Lorain,10/1,7,,,
Lorain,10/2,16,,,
Lorain,10/3,13,,,
Lorain,10/4,15,,,
Lorain,10/5,15,,,
Lorain,10/6,13,,,
Lorain,10/7,15,,,
Lorain,10/8,17,,,
Lorain,10/9,15,,,
Lorain,10/10,9,,,
Lorain,10/11,8,,,
Lorain,10/12,35,,,
Lorain,10/13,23,,,
Lorain,10/14,24,,,
Lorain,10/15,24,,,
Lorain,10/16,20,,,
Lorain,10/17,15,,,
Lorain,10/18,14,,,
Lorain,10/19,38,,,
Lorain,10/20,34,,,
Lorain,10/21,42,,,
Lorain,10/22,38,,,
Lorain,10/23,42,,,
Lorain,10/24,35,,,
Lorain,10/25,27,,,
Lorain,10/26,65,,,
Lorain,10/27,45,,,
Lorain,10/28,57,,,
Lorain,10/29,71,,,
Lorain,10/30,62,,,
Lorain,10/31,45,,,
Lorain,11/1,51,,,
Lorain,11/2,115,,,
Lorain,11/3,71,,,
Lorain,11/4,163,,,
Lorain,11/5,174,,,
Lorain,11/6,155,,,
Lorain,11/7,122,,,
Lorain,11/8,115,,,
Lorain,11/9,280,,,
Lorain,11/10,195,,,
Lorain,11/11,198,,,
Lorain,11/12,229,,,
Lorain,11/13,240,,,
Lorain,11/14,149,,,
Lorain,11/15,130,,,
Lorain,11/16,256,,,
Lorain,11/17,240,,,
Lorain,11/18,233,,,
Lorain,11/19,259,,,
Lorain,11/20,240,,,
Lorain,11/21,140,,,
Lorain,11/22,132,,,
Lorain,11/23,290,,,
Lorain,11/24,239,,,
Lorain,11/25,268,,,
Lorain,11/26,54,,,
Lorain,11/27,283,,,
Lorain,11/28,173,,,
Lorain,11/29,177,,,
Lorain,11/30,366,,,
Lorain,12/1,268,,,
Lorain,12/2,288,,,
Lorain,12/3,303,,,
Lorain,12/4,249,,,
Lorain,12/5,136,,,
Lorain,12/6,114,,,
Lorain,12/7,321,,,
Lorain,12/8,322,,,
Lorain,12/9,191,,,
Lorain,12/10,249,,,
Lorain,12/11,228,,,
Lorain,12/12,129,,,
Lorain,12/13,113,,,
Lorain,12/14,274,,,
Lorain,12/15,240,,,
Lorain,12/16,197,,,
Lorain,12/17,199,,,
Lorain,12/18,178,,,
Lorain,12/19,109,,,
Lorain,12/20,101,,,
Lorain,12/21,269,,,
Lorain,12/22,195,,,
Lorain,12/23,199,,,
Lorain,12/24,153,,,
Lorain,12/25,27,,,
Lorain,12/26,157,,,
Lorain,12/27,141,,,
Lorain,12/28,303,,,
Lorain,12/29,240,,,
Lorain,12/30,278,,,
Lorain,12/31,202,,,
Lorain,1/1,64,,,
Lorain,1/2,182,,,
Lorain,1/3,155,,,
Lorain,1/4,342,,,
Lorain,1/5,259,,,
Lorain,1/6,204,,,
Lorain,1/7,193,,,
Lorain,1/8,194,,,
Lorain,1/9,129,,,
Lorain,1/10,100,,,
Lorain,1/11,204,,,
Lorain,1/12,184,,,
Lorain,1/13,166,,,
Lorain,1/14,162,,,
Lorain,1/15,133,,,
Lorain,1/16,57,,,
Lorain,1/17,37,,,
Lorain,1/18,,,,
Lucas,8/1,41,,,
Lucas,8/2,38,,,
Lucas,8/3,53,,,
Lucas,8/4,71,,,
Lucas,8/5,66,,,
Lucas,8/6,44,,,
Lucas,8/7,42,,,
Lucas,8/8,47,,,
Lucas,8/9,22,,,
Lucas,8/10,68,,,
Lucas,8/11,41,,,
Lucas,8/12,53,,,
Lucas,8/13,52,,,
Lucas,8/14,46,,,
Lucas,8/15,25,,,
Lucas,8/16,51,,,
Lucas,8/17,56,,,
Lucas,8/18,53,,,
Lucas,8/19,56,,,
Lucas,8/20,50,,,
Lucas,8/21,44,,,
Lucas,8/22,30,,,
Lucas,8/23,26,,,
Lucas,8/24,60,,,
Lucas,8/25,61,,,
Lucas,8/26,49,,,
Lucas,8/27,43,,,
Lucas,8/28,59,,,
Lucas,8/29,26,,,
Lucas,8/30,28,,,
Lucas,8/31,44,,,
Lucas,9/1,42,,,
Lucas,9/2,38,,,
Lucas,9/3,32,,,
Lucas,9/4,28,,,
Lucas,9/5,29,,,
Lucas,9/6,26,,,
Lucas,9/7,21,,,
Lucas,9/8,36,,,
Lucas,9/9,48,,,
Lucas,9/10,24,,,
Lucas,9/11,23,,,
Lucas,9/12,26,,,
Lucas,9/13,13,,,
Lucas,9/14,36,,,
Lucas,9/15,34,,,
Lucas,9/16,42,,,
Lucas,9/17,45,,,
Lucas,9/18,27,,,
Lucas,9/19,21,,,
Lucas,9/20,27,,,
Lucas,9/21,25,,,
Lucas,9/22,27,,,
Lucas,9/23,25,,,
Lucas,9/24,37,,,
Lucas,9/25,36,,,
Lucas,9/26,20,,,
Lucas,9/27,18,,,
Lucas,9/28,27,,,
Lucas,9/29,37,,,
Lucas,9/30,33,,,
Lucas,10/1,29,,,
Lucas,10/2,38,,,
Lucas,10/3,32,,,
Lucas,10/4,27,,,
Lucas,10/5,54,,,
Lucas,10/6,39,,,
Lucas,10/7,37,,,
Lucas,10/8,47,,,
Lucas,10/9,41,,,
Lucas,10/10,28,,,
Lucas,10/11,30,,,
Lucas,10/12,60,,,
Lucas,10/13,65,,,
Lucas,10/14,50,,,
Lucas,10/15,45,,,
Lucas,10/16,71,,,
Lucas,10/17,56,,,
Lucas,10/18,51,,,
Lucas,10/19,93,,,
Lucas,10/20,104,,,
Lucas,10/21,73,,,
Lucas,10/22,69,,,
Lucas,10/23,103,,,
Lucas,10/24,69,,,
Lucas,10/25,65,,,
Lucas,10/26,109,,,
Lucas,10/27,145,,,
Lucas,10/28,129,,,
Lucas,10/29,98,,,
Lucas,10/30,149,,,
Lucas,10/31,123,,,
Lucas,11/1,148,,,
Lucas,11/2,224,,,
Lucas,11/3,213,,,
Lucas,11/4,224,,,
Lucas,11/5,244,,,
Lucas,11/6,282,,,
Lucas,11/7,212,,,
Lucas,11/8,221,,,
Lucas,11/9,339,,,
Lucas,11/10,295,,,
Lucas,11/11,239,,,
Lucas,11/12,231,,,
Lucas,11/13,267,,,
Lucas,11/14,162,,,
Lucas,11/15,178,,,
Lucas,11/16,284,,,
Lucas,11/17,479,,,
Lucas,11/18,319,,,
Lucas,11/19,371,,,
Lucas,11/20,419,,,
Lucas,11/21,179,,,
